name,allsides_page,bias,agree,disagree,agree_ratio,agreeance_text
National Review (Opinion),https://www.allsides.com/news-source/national-review-opinion-media-bias,right,130,98,1.3265306122448979,somewhat agrees
NBC News (Online),https://www.allsides.com/news-source/nbc-news-media-bias,left-center,15749,14824,1.0623988127361037,somewhat agrees
New York Post (News),https://www.allsides.com/news-source/new-york-post,right-center,18957,10083,1.8800952097590002,agrees
New York Times (News),https://www.allsides.com/news-source/new-york-times,left-center,34795,44799,0.7766914440054465,somewhat disagrees
New York Times (Opinion),https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,19998,5964,3.3531187122736417,absolutely agrees
Newsmax (News),https://www.allsides.com/news-source/newsmax,right,13277,12221,1.0864086408640865,somewhat agrees
Newsweek,https://www.allsides.com/news-source/newsweek,center,5796,10639,0.5447880439890967,disagrees
One America News Network (OAN),https://www.allsides.com/news-source/one-america-news-network-media-bias,right,3708,1909,1.9423782084861183,agrees
Reuters,https://www.allsides.com/news-source/reuters,center,23377,14001,1.6696664523962574,agrees
The Epoch Times,https://www.allsides.com/news-source/epoch-times-media-bias,right-center,14973,8839,1.693969906097975,agrees
The Guardian,https://www.allsides.com/news-source/guardian,left-center,17811,11383,1.5647017482210313,agrees
The Hill,https://www.allsides.com/news-source/hill-media-bias,center,19895,27465,0.7243764791552886,somewhat disagrees
Wall Street Journal (News),https://www.allsides.com/news-source/wall-street-journal-media-bias,center,27173,29065,0.9349045243419921,somewhat disagrees
Washington Examiner,https://www.allsides.com/news-source/washington-examiner,right-center,15567,7830,1.9881226053639847,agrees
Washington Post,https://www.allsides.com/news-source/washington-post-media-bias,left-center,40334,29169,1.382769378449724,somewhat agrees
Associated Press,https://www.allsides.com/news-source/associated-press-media-bias,left-center,35486,28212,1.2578335460087906,somewhat agrees
CNN (Online News),https://www.allsides.com/news-source/cnn-media-bias,left-center,63734,54373,1.1721626542585475,somewhat agrees
Fox News (Online News),https://www.allsides.com/news-source/fox-news-media-bias,right,55788,54612,1.021533728850802,somewhat agrees
Insider,https://www.allsides.com/news-source/insider-media-bias,left-center,5565,7750,0.7180645161290322,somewhat disagrees
National Review (News),https://www.allsides.com/news-source/national-review,right-center,23227,9817,2.365997758989508,strongly agrees
National Review (Opinion),https://www.allsides.com/news-source/national-review-opinion-media-bias,right,129,98,1.316326530612245,somewhat agrees
NBC News (Online),https://www.allsides.com/news-source/nbc-news-media-bias,left-center,15746,14822,1.0623397652138713,somewhat agrees
New York Post (News),https://www.allsides.com/news-source/new-york-post,right-center,18952,10079,1.8803452723484473,agrees
New York Times (News),https://www.allsides.com/news-source/new-york-times,left-center,34792,44797,0.776659151282452,somewhat disagrees
New York Times (Opinion),https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,19994,5964,3.352448021462106,absolutely agrees
Newsmax (News),https://www.allsides.com/news-source/newsmax,right,13274,12219,1.0863409444308045,somewhat agrees
Newsweek,https://www.allsides.com/news-source/newsweek,center,5795,10637,0.5447964651687506,disagrees
One America News Network (OAN),https://www.allsides.com/news-source/one-america-news-network-media-bias,right,3704,1909,1.9402828706128863,agrees
Reuters,https://www.allsides.com/news-source/reuters,center,23370,13999,1.669404957496964,agrees
The Epoch Times,https://www.allsides.com/news-source/epoch-times-media-bias,right-center,14970,8834,1.694589087616029,agrees
The Guardian,https://www.allsides.com/news-source/guardian,left-center,17810,11383,1.5646138979179478,agrees
The Hill,https://www.allsides.com/news-source/hill-media-bias,center,19893,27460,0.724435542607429,somewhat disagrees
Wall Street Journal (News),https://www.allsides.com/news-source/wall-street-journal-media-bias,center,27172,29060,0.9350309704060564,somewhat disagrees
Washington Examiner,https://www.allsides.com/news-source/washington-examiner,right-center,15566,7830,1.9879948914431673,agrees
Washington Post,https://www.allsides.com/news-source/washington-post-media-bias,left-center,40332,29169,1.382700812506428,somewhat agrees
